Order	Cross	Distance
Extra	Calopteryx_splendens_X_Calopteryx_xanthostoma	0
Extra	Coenagrion_puella_X_Coenagrion_ornatum	0.004149377593361
Extra	Coenagrion_puella_X_Coenagrion_pulchellum	0.00527009222661397
Extra	Coenagrion_pulchellum_X_Coenagrion_ornatum	0.00564174894217207
Extra	Formica_polyctena_X_Formica_aquilonia	0
Extra	Hyles_euphorbiae_X_Hyles_tithymali	0.0030441400304414
Extra	Ischnura_senegalensis_X_Ischnura_elegans	0.0825471698113208
Extra	Mnais_costalis_X_Mnais_pruinosa	0
Extra	Phaulacridium_marginale_X_Phaulacridium_otagoense	0.0288713910761155
