Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Papilio alexiares	Papilio glaucus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio alphenor	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio asterius	Papilio machaon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio bairdy	Papilio hippocrates	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio bairdy	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio bairdy	Papilio polyxenes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio arcturus	Papilio bianor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio bianor	Papilio hippocrates	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio bianor	Papilio maackii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio brevicauda	Papilio machaon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio brevicauda	Papilio polyxenes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio demoleus	Papilio hippocrates	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio demoleus	Papilio maackii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio demoleus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio eurymedon	Papilio glaucus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio eurymedon	Papilio rutulus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio eurymedon	Papilio multicaudatus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio fuscus	Papilio macilentus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio cleotus	Papilio glaucus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio glaucus	Papilio multicaudatus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio glaucus	Papilio rutulus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio glaucus	Papilio scamander	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio glaucus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio gothica	Papilio polyxenes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio aegeus	Papilio helenus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio helenus	Papilio hystaspes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio helenus	Papilio memnon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio helenus	Papilio nepheles	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio aegeus	Papilio hippocrates	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio britannicus	Papilio hippocrates	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio hippocrates	Papilio maackii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio hippocrates	Papilio macilentus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio hippocrates	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio hippocrates	Papilio polyxenes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio hippocrates	Papilio protenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio hippocrates	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio hippocrates	Papilio zelicaon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio aegeus	Papilio maackii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio machaon	Papilio polyxenes	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio machaon	Papilio zelicaon	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio ascalaphus	Papilio memnon	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio macilentus	Papilio memnon	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio memnon	Papilio polymnestor	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio memnon	Papilio rumanzovia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio palamedes	Papilio scamander	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio bianor	Papilio paris	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio bianor	Papilio polyctor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio maackii	Papilio polyctor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio polymnestor	Papilio rumanzovia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio aegeus	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio fuscus	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio helenus	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio hipponous	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio ledebouria	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio memnon	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio nepheles	Papilio polytes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio polytes	Papilio protenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio m. gorganus	Papilio polyxenes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio polyxenes	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio multicaudatus	Papilio rutulus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio aegeus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio bianor	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio helenus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio maackii	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio macilentus	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio memnon	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio paris	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Papilio protenor	Papilio xuthus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Anthocharis cardamines	Anthocharis euphenoides	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Anthocharis cardamines	Euchloe ausonia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Anthocharis cardamines	Euchloe simplonia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Colias australis	Colias hyale	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Colias crocea	Colias hyale	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Colias erate	Colias eurytheme	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Colias alexandra	Colias eurytheme	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Colias eurytheme	Colias philodice	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Colias eurytheme	Colias interior	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris adalwinda	Pieris bryoniae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris adalwinda	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris bryoniae	Pieris dubiosa	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris bryoniae	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris callidice	Pieris nelsoni	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris ergane	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris bryoniae	Pieris flavenscens	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris manni	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris manni	Pieris rapae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris melete	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris dulcinea pseudonapi	Pieris napi	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris napi	Pieris nesis	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris protodice	Pontia daplidice	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris napi	Pieris rapae	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Pieris rapae	Pontia daplidice	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Ectropis bistortata	Ectropis crepuscularia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Callosamia angulifera	Callosamia securifera	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Callosamia angulifera	Hyalophora cecropia	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Callosamia angulifera	Callosamia promethea	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Callosamia promethea	Callosamia securifera	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Hyalophora cecropia	Hyalophora gloveri	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Hyalophora cercropia	Hyalophora nokomis	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Hyalophora cecropia	Hyalophora euryalis	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Hyalophora euryalis	Hyalophora gloveri	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Saturnia mendocino	Saturnia walterorum	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Saturnia pavonia	Saturnia spini	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Saturnia pavonia	Saturnia pyri	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Amorpha austauti	Smerinthus atlanticus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Amorpha austauti	Smerinthus ocellata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Amorpha populi	Smerinthus atlanticus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Amorpha populi	Smerinthus ocellata	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio dalhi	Celerio galii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio elpenor	Celerio livornica	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio euphorbiae	Celerio gallii	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio euphorbiae	Celerio hippophaes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio euphorbiae	Celerio lineata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio euphorbiae	Celerio vespertilio	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio euphorbiae	Deilephila elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio euphorbiae	Deilephila porcellus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio galii	Celerio lineata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio galii	Celerio livornica	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio galii	Celerio vespertillo	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio galii	Deilephila elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio galii	Celerio hippophaes	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio hippophaes	Celerio lineata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio hippophaes	Celerio vespertillo	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio hippophaes	Deilephila elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio vespertilio	Deilephila elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio lineata	Deilephelia elpenor	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Deilephelia elpenor	Deilephila porcellus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Celerio galii	Deilephila porcellus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Mimas tiliae	Smerinthus ocellata	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Choristoneura biennis	Choristoneura fumiferana	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Choristoneura fumiferana	Choristoneura occidentalis	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Choristoneura occidentalis	Choristoneura pinus	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Choristoneura fumiferana	Choristoneura retiniana	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Choristoneura pinus	Choristoneura retiniana	Laboratory	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
Yponomeuta malinellus	Yponomeuta padellus	Field	Yes	Presgraves, DC.	2002	Patterns of postzygotic isolation in Lepidoptera
