Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Choristoneura fumiferana	Choristoneura pinus	Field	Yes	Deverno, LL; Smith, GA; Harrison, KJ.	1998	Randomly amplified polymorphic DNA evidence of introgression in two closely related sympatric species of coniferophagous Choristoneura (Lepidoptera : Tortricidae) in Atlantic Canada
Heliconius charithonia	Heliconius peruvianus	Field	Yes	Jiggins, CD; Davies, N.	1998	Genetic evidence for a sibling species of Heliconius charithonia (Lepidoptera; Nymphalidae)
Helicoverpa armigera	Helicoverpa assulta	Laboratory	Yes	Wang, CZ; Dong, JF.	2001	Interspecific hybridization of Helicoverpa armigera and H-assulta (Lepidoptera : Noctuidae)
Parnassius bremeri	Parnassius nomion	Field	Yes	Zakharov, EV.	2001	Natural hybridization between two swallowtail species Parnassius nomion and Parnassius bremeri (Lepidoptera, Papilionidae) shown by RAPD-PCR
Anartia amathea	Anartia fatima	Field	Yes	Dasmahapatra, KK; Blum, MJ; Aiello, A; Hackwell, S; Davies, N; Bermingham, EP; Mallett, T.	2002	Inferences from a rapidly moving hybrid zone
Limenitis archippus	Limenitis arthemis	Field	Yes	Platt, AP; McClanahan, ET.	2003	"Two additional state records of F-1 male interspecific hybrid Limenitis (Basilarchia) spp. form ""rubidus"" Strecker (Lepidoptera : Nymphalidae)"
Colias crocea	Colias erate	Field	Yes	Milovanov, AE; Simchuk, AP; Ivashov, AV.	2004	Polymorphism in syntopic populations of Colias crocea and C-erate (Lepidoptera, Pieridae) in the Crimea
Maniola chia	Maniola nurag	Field	Yes	Grill, A; de Vos, R; van Arkel, J.	2004	The shape of endemics: Notes on male and female genitalia in the genus Maniola (Schrank, 1801), (Lepidoptera, Nymphalidae, Satyrinae)
Timandra comae	Timandra griseata	Field	Yes	Ounap, E; Viidalepp, J; Saarma, U.	2005	Phylogenetic evaluation of the taxonomic status of Timandra griseata and T-comae (Lepidoptera : Geometridae : Sterrhinae)
Choristoneura biennis	Choristoneura occidentalis	Laboratory	Yes	Nealis, VG.	2005	Diapause and voltinism in western and 2-year-cycle spruce budworms (Lepidoptera : Tortricidae) and their hybrid progeny
Hyalophora cecropia	Hyalophora columbia	Field	Yes	Bridgehouse, DW.	2006	A case of natural hybridization between Hyalophora cecropia and Hyalophora columbia (Lepidoptera : Saturniidae) in Nova Scotia
Maniola jurtina	Maniola nurag	Field	Yes	Grill, A; Gkiokia, E; Alvarez, N.	2006	Evolutionary history and patterns of differentiation among European Maniola butterflies (Lepidoptera : Satyrinae)
Leptidea reali	Leptidea sinapis	Field	Yes	Verovnik, R; Glogovcan, P.	2007	Morphological and molecular evidence of a possible hybrid zone of Leptidea sinapis and L reali (Lepidoptera : Pieridae)
Papilio polyxenes	Papilio zelicaon	Laboratory	Yes	Scriber, JM.	2007	Segregation of F-2 interspecific hybrid growth performance and wing color patterns relative to parental species in the Papilio machaon species group (Lepidoptera : Papilionidae)
Danaus erippus	Danaus plexippus	Laboratory	Yes	Hay-Roe, MM; Lamas, G; Nation, JL.	2007	Pre- and postzygotic isolation and Haldane rule effects in reciprocal crosses of Danaus erippus and Danaus plexippus (Lepidoptera : Danainae), supported by differentiation of cuticular hydrocarbons, establish their status as separate species
Lycaeides idas	Lycaeides melissa	Field	Yes	Gompert, Z; Lucas, LK; Fordyce, JA; Forister, ML; Nice, CC.	2010	Secondary contact between Lycaeides idas and L-melissa in the Rocky Mountains: extensive admixture and a patchy hybrid zone
Hyles euphorbiae	Hyles tithymali	Field	Yes	Hundsdoerfer, AK; Mende, MB; Harbich, H; Pittaway, AR; Kitching, IJ.	2011	Larval pattern morphotypes in the Western Palaearctic Hyles euphorbiae complex (Lepidoptera: Sphingidae: Macroglossinae)
Hyalophora columbia	Hyalophora eznyalus	Field	Yes	Collins, MM; Rawlins, JE.	2013	"A TRANSECT FOR REPRODUCTIVE COMPATIBILITY AND EVIDENCE FOR A ""HYBRID SINK"" IN A HYBRID ZONE OF HYALOPHORA (INSECTA: LEPIDOPTERA: SATURNIIDAE)"
Erebia epiphron	Erebia pronoe	Field	Yes	Michel, F; Meglecz, E; Martin, JF; Descimon, H.	2013	Erebia serotina Descimon & de Lesse 1953 (Lepidoptera: Nymphalidae), a recurrent hybrid between two distantly related species
Heliconius melpomene	Heliconius timareta	Field	Yes	Merot, C; Mavarez, J; Evin, A; Dasmahapatra, KK; Mallet, J; Lamas, G; Joron, M.	2013	Genetic differentiation without mimicry shift in a pair of hybridizing Heliconius species (Lepidoptera: Nymphalidae)
Zizina labradus	Zizina oxleyi	Field	Yes	Gillespie, M; Wratten, SD; Cruickshank, R; Wiseman, BH; Gibbs, GW.	2013	Incongruence between morphological and molecular markers in the butterfly genus Zizina (Lepidoptera: Lycaenidae) in New Zealand
Pyrgus malvae	Pyrgus malvoides	Field	Yes	Hernandez-Roldan, JL; Bofill, R; Dapporto, L; Munguira, ML; Vila, R.	2014	Morphological and chemical analysis of male scent organs in the butterfly genus Pyrgus (Lepidoptera: Hesperiidae)
Ostrinia furnacalis	Ostrinia scapulalis	Field	Yes	Bourguet, D; Ponsard, S; Streiff, R; Meusnier, S; Audiot, P; Li, J; Wang, ZY.	2014	'Becoming a species by becoming a pest' or how two maize pests of the genus Ostrinia possibly evolved through parallel ecological speciation events
Coenonympha arcania	Coenonympha gardetta	Field	Yes	Capblancq, T; Despres, L; Rioux, D; Mavarez, J.	2015	Hybridization promotes speciation in Coenonympha butterflies
Zizina emelina	Zizina otis	Laboratory	Yes	Sakamoto, Y; Yago, M.	2017	Potential for interspecific hybridization between Zizina emelina and Zizina otis (Lepidoptera: Lycaenidae)
Ostrinia furnacalis	Ostrinia nubilalis	Field	Yes	Wang, YZ; Kim, KS; Guo, WC; Li, QY; Zhang, YY; Wang, ZY; Coates, BS.	2017	Introgression between divergent corn borer species in a region of sympatry: Implications on the evolution and adaptation of pest arthropods
Udea alpinalis	Udea uliginosalis	Field	Yes	Mally, R; Huemer, P; Nuss, M.	2018	Deep intraspecific DNA barcode splits and hybridisation in the Udea alpinalis group (Insecta, Lepidoptera, Crambidae) - an integrative revision
Yponomeuta cagnagella	Yponomeuta padella	Laboratory	Yes	Hora, KH; Marec, F; Roessingh, P; Menken, SBJ.	2019	Limited intrinsic postzygotic reproductive isolation despite chromosomal rearrangements between closely related sympatric species of small ermine moths (Lepidoptera: Yponomeutidae)
Iphiclides feisthamelii	Iphiclides podalirius	Field	Yes	Gaunet, A; Dinca, V; Dapporto, L; Montagud, S; Voda, R; Schar, S; Badiane, A; Font, E; Vila, R.	2019	Two consecutive Wolbachia-mediated mitochondrial introgressions obscure taxonomy in Palearctic swallowtail butterflies (Lepidoptera, Papilionidae)
