Sp1	Sp2	Authors	Condition	Year	MainTopic	Article
Lasius emarginatus	Lasius platythorax	Seifert, B.	Field	1999	Yes	Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)
Lasius umbratus	Lasius jensi	Seifert, B.	Field	1999	Yes	Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)
Lasius umbratus	Lasius meridionalis	Seifert, B.	Field	1999	Yes	Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)
Leptothorax nigriceps	Leptothorax unifasciatus	Seifert, B.	Field	1999	Yes	Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)
Leptothorax nylanderi	Leptothorax slavonicus	Seifert, B.	Field	1999	Yes	Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)
Leptothorax albipennis	Leptothorax tuberum	Seifert, B.	Field	1999	Yes	Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)
Leptothorax albipennis	Leptothorax unifasciatus	Seifert, B.	Field	1999	Yes	Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)
Leptothorax albipennis	Leptothorax nigriceps	Seifert, B.	Field	1999	Yes	Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)
Leptothorax tuberum	Leptothorax nigriceps	Seifert, B.	Field	1999	Yes	Interspecific hybridisations in natural populations of ants by example of a regional fauna (Hymenoptera, Formicidae)
Cotesia chilonis	Cotesia sesamie	KIMANI, SW; OVERHOLT, WA.	Laboratory	1995	Yes	BIOSYSTEMATICS OF THE COTESIA-FLAVIPES COMPLEX (HYMENOPTERA, BRACONIDAE) - INTERSPECIFIC HYBRIDIZATION, SEX-PHEROMONE AND MATING BEHAVIOR STUDIES 
