Suborder	Family	Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
"""Ant"""	Formicidae	Myrmica scabrinodis 	Myrmica vandeli	Field	Yes	"Yazdi, AB; Munch, W; Seifert, B."	2012	A first demonstration of interspecific hybridization in Myrmica ants by geometric morphometrics (Hymenoptera: Formicidae)
"""Other"""	Pteromalidae	Nasonia longicornis	Nasonia giraulti	Laboratory	No	"Pietsch, C; Rutten, K; Gadau, J."	2004	"Eleven microsatellite markers in Nasonia, ASHMEAD 1904 (Hymenoptera; Pteromalidae)"
"""Other"""	Pteromalidae	Nasonia oneida	Nasonia giraulti	Laboratory	Yes	"Raychoudhury, R; Desjardins, CA; Buellesbach, J; Loehlin, DW; Grillenberger, BK; Beukeboom, L; Schmitt, T; Werren, JH."	2010	Behavioral and genetic characteristics of a new species of Nasonia
"""Other"""	Pteromalidae	Nasonia oneida	Nasonia longicornis	Laboratory	Yes	"Raychoudhury, R; Desjardins, CA; Buellesbach, J; Loehlin, DW; Grillenberger, BK; Beukeboom, L; Schmitt, T; Werren, JH."	2010	Behavioral and genetic characteristics of a new species of Nasonia
"""Other"""	Pteromalidae	Nasonia oneida	Nasonia vitripennis	Laboratory	Yes	"Raychoudhury, R; Desjardins, CA; Buellesbach, J; Loehlin, DW; Grillenberger, BK; Beukeboom, L; Schmitt, T; Werren, JH."	2010	Behavioral and genetic characteristics of a new species of Nasonia
"""Other"""	Pteromalidae	Nasonia vitripennis	Nasonia giraulti	Laboratory	Yes	"Gadau, J; Page, RE; Werren, JH."	2002	The genetic basis of the interspecific differences in wing size in Nasonia (Hymenoptera; Pteromalidae): Major quantitative trait loci and epistasis
"""Other"""	Pteromalidae	Nasonia vitripennis	Nasonia longicornis	Laboratory	Yes	"Beukeboom, LW; van den Assem, J."	2001	"Courtship and mating behaviour of interspecific Nasonia hybrids (Hymenoptera, Pteromalidae): A grandfather effect"
"""Ant"""	Formicidae	Pogonomyrmex occidentalis	Pogonomyrmex maricopa 	Field	Yes	"Anderson, KE; Novak, SJ; Smith, JF. "	2008	Populations composed entirely of hybrid colonies: bidirectional hybridization and polyandry in harvester ants
"""Ant"""	Formicidae	Pogonomyrmex rugosus	Pogonomyrmex barbatus	Field	Yes	"Yamauchi, A; Yamamura, N."	2006	Persistence conditions of symmetric social hybridogenesis in haplo-diploid hymenoptera
"""Ant"""	Formicidae	Solenopsis geminata	Solenopsis xyloni	Field	Yes	"Sanchez-Pena, SR; Chacon-Cardosa, MC; Resendez-Perez, D."	2009	IDENTIFICATION OF FIRE ANTS (HYMENOPTERA: FORMICIDAE) FROM NORTHEASTERN MEXICO WITH MORPHOLOGY AND MOLECULAR MARKERS
