Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Phlebotomus perniciosus	Phlebotomus longicuspis	Field	Yes	Pesson, B; Ready, JS; Benabdennbi, I; Martin-Sanchez, J; Esseghir, S; Cadi-Soussi, M; Morillas-Marquez, F; Ready, PD.	2004	Sandflies of the Phlebotomus perniciosus complex: mitochondrial introgression and a new sibling species of P-longicuspis in the Moroccan Rif
Lutzomyia longipalpis	Lutzomyia cruzi	Field	No	Santos, MFC; Ribolla, PEM; Alonso, DP; Andrade, JD; Casaril, AE; Ferreira, AMT; Fernandes, CES; Brazil, RP; Oliveira, AG.	2013	Genetic Structure of Lutzomyia longipalpis Populations in Mato Grosso Do Sul, Brazil, Based on Microsatellite Markers
Chironomus plumosus	Chironomus muratensis	Field	Yes	Markiyanova, MF.	2016	Composition and Distribution of Sibling Species of Chironomus Meigen, 1803 (Diptera, Chironomidae) in Curonian Lagoon of the Baltic Sea
Psorophora columbiae	Psorophora toltecum	Field	Yes	Lanzaro, GC; Collier, TC; Lee, Y.	2015	Defining Genetic, Taxonomic, and Geographic Boundaries Among Species of the Psorophora confinnis (Diptera: Culicidae) Complex in North and South America
Anopheles maculatus	Anopheles willmori	Laboratory	Yes	Somboon, P; Thongwat, D; Morgan, K; Walton, C.	2008	Crossing experiment of Anopheles maculatus form K and Anopheles willmori (James) (Diptera : Culicidae)
Bactrocera invadens	Bactrocera dorsalis	Laboratory	Yes	Bo, W; Ahmad, S; Dammalage, T; Tomas, US; Wornoayporn, V; Ul Haq, I; Caceres, C; Vreysen, MJB; Hendrichs, J; Schutze, MK.	2014	Mating Compatibility Between Bactrocera invadens and Bactrocera dorsalis (Diptera: Tephritidae)
Anopheles annulipes sp A	Anopheles annulipes sp G	Laboratory	Yes	FOLEY, DH; BRYAN, JH.	1991	ANOPHELES-ANNULIPES WALKER (DIPTERA, CULICIDAE) AT GRIFFITH, NEW-SOUTH-WALES .1. 2 SIBLING SPECIES IN SYMPATRY
Drosophila lutescens	Drosophila takahashii	Laboratory	Yes	Hori, Y; Kimura, MT.	1998	Relationship between cold stupor and cold tolerance in Drosophila (Diptera : Drosophilidae)
Glyptotendipes salinus	Glyptotendipes barbipes	Laboratory	Yes	MICHAILOVA, P; BELCHEVA, R.	1989	MEIOSIS IN AN EXPERIMENTAL HYBRID OF GLYPTOTENDIPES-SALINUS MICHAILOVA X GLYPTOTENDIPES-BARBIPES (STAEGER) (DIPTERA, CHIRONOMIDAE)
Anopheles coluzzii	Anopheles arabiensis	Field	No	Zoure, AA; Noel, G; Sombie, A; Somda, Z; Badolo, A; Francis, F.	2020	Genetic analysis and population structure of the Anopheles gambiae complex from different ecological zones of Burkina Faso
Batrocera occipitalis	Batrocera philippinensis	Laboratory	Yes	Iwahashi, O.	1999	Distinguishing between two sympatric species, Bactrocera occipitalis and B-philippinensis (Diptera : Tephritidae), based on aedeagal length
Prosimulium multidentatum	Prosimulium magnum	Field	Yes	ROTHFELS, K; NAMBIAR, R.	1981	A CYTOLOGICAL STUDY OF NATURAL HYBRIDS BETWEEN PROSIMULIUM-MULTIDENTATUM AND P-MAGNUM - WITH NOTES ON SEX DETERMINATION IN THE SIMULIIDAE (DIPTERA)
Aedes ashworthi	Aedes australis	Laboratory	Yes	Brust, RA; Mahon, RJ.	1997	Resurrection of Aedes (Halaedes) ashworthi Edwards 1921: Morphological characterisation and separation from its sibling Aedes (Halaedes) australis (Erichson) 1842 (Diptera: Culicidae)
Anopheles coluzzii	Anopheles quadriannulatus	Laboratory	Yes	Deitz, KC; Takken, W; Slotman, MA.	2018	The Effect of Hybridization on Dosage Compensation in Member Species of the Anopheles gambiae Species Complex
Drosophila bipectinata	Drosophila parabipectinata	Laboratory	Yes	Mishra, PK; Singh, BN.	2006	Unique phenotypes and variation in the sex comb patterns and their evolutionary implications in the Drosophila bipectinata species complex (Diptera : Drosophilidae)
Drosophila bipectinata	Drosophila malerkotliana	Laboratory	Yes	Mishra, PK; Singh, BN.	2006	Unique phenotypes and variation in the sex comb patterns and their evolutionary implications in the Drosophila bipectinata species complex (Diptera : Drosophilidae)
Drosophila bipectinata	Drosophila pseudoananassae	Laboratory	Yes	Mishra, PK; Singh, BN.	2006	Unique phenotypes and variation in the sex comb patterns and their evolutionary implications in the Drosophila bipectinata species complex (Diptera : Drosophilidae)
Drosophila parabipectinata	Drosophila malerkotliana	Laboratory	Yes	Mishra, PK; Singh, BN.	2006	Unique phenotypes and variation in the sex comb patterns and their evolutionary implications in the Drosophila bipectinata species complex (Diptera : Drosophilidae)
Drosophila parabipectinata	Drosophila pseudoananassae	Laboratory	Yes	Mishra, PK; Singh, BN.	2006	Unique phenotypes and variation in the sex comb patterns and their evolutionary implications in the Drosophila bipectinata species complex (Diptera : Drosophilidae)
Drosophila malerkotliana	Drosophila pseudoananassae	Laboratory	Yes	Mishra, PK; Singh, BN.	2006	Unique phenotypes and variation in the sex comb patterns and their evolutionary implications in the Drosophila bipectinata species complex (Diptera : Drosophilidae)
Ceratitis rosa	Ceratitis fasciventris	Laboratory	Yes	Erbout, N; De Meyer, M; Lens, L.	2008	Hybridization between two polyphagous fruit-fly species (Diptera : Tephritidae) causes sex-biased reduction in developmental stability
Aedes brelandi	Aedes zoosophus	Laboratory	Yes	TAYLOR, DB.	1990	GENETICS OF INTERSPECIFIC HYBRIDIZATION IN THE TRISERIATUS AND ZOOSOPHUS GROUPS OF AEDES (PROTOMACLEAYA) (DIPTERA, CULICIDAE)
Aedes hendersoni	Aedes zoosophus	Laboratory	Yes	TAYLOR, DB.	1990	GENETICS OF INTERSPECIFIC HYBRIDIZATION IN THE TRISERIATUS AND ZOOSOPHUS GROUPS OF AEDES (PROTOMACLEAYA) (DIPTERA, CULICIDAE)
Aedes triseriatus	Aedes zoosophus	Laboratory	Yes	TAYLOR, DB.	1990	GENETICS OF INTERSPECIFIC HYBRIDIZATION IN THE TRISERIATUS AND ZOOSOPHUS GROUPS OF AEDES (PROTOMACLEAYA) (DIPTERA, CULICIDAE)
Anopheles melas	Anopheles gambiae	Laboratory	Yes	OKEREKE, TA.	1980	HYBRIDIZATION STUDIES ON SIBLING SPECIES OF THE ANOPHELES-GAMBIAE GILES COMPLEX (DIPTERA, CULICIDAE) IN THE LABORATORY
Anopheles melas	Anopheles arabiensis	Laboratory	Yes	OKEREKE, TA.	1980	HYBRIDIZATION STUDIES ON SIBLING SPECIES OF THE ANOPHELES-GAMBIAE GILES COMPLEX (DIPTERA, CULICIDAE) IN THE LABORATORY
Chrysomya megacephala	Chrysomya saffranea	Field	Yes	Nelson, LA; Wallman, JF; Dowton, M.	2007	Using COI barcodes to identify forensically and medically important blowflies
Anopheles beklemishevi	Anopheles atroparvus	Laboratory	Yes	Novikov, YM.	2016	Rearing of Anopheles beklemishevi (Diptera: Culicidae) and the possibility of its hybridization with An. atroparvus under laboratory conditions
Chironomus tentans	Chironomus pallidivittatus	Field	Yes	Martin, J; Guryev, V; Blinov, A.	2002	Population variability in Chironomus (Camptochironomus) species (Diptera, Nematocera) with a Holarctic distribution: evidence of mitochondrial gene flow
Bactrocera dorsalis	Bactrocera carambolae	Laboratory	Yes	McInnis, DO; Rendon, P; Jang, E; Van Sauers-Muller, A; Sugayama, R; Malavasi, A.	1999	Interspecific mating of introduced, sterile Bactrocera dorsalis with wild B-carambolae (Diptera : Tephritidae) in Suriname: a potential case for cross-species sterile insect technique
Drosophila orientacea	Drosophila testacea	Laboratory	Yes	GRIMALDI, D; JAMES, AC; JAENIKE, J.	1992	SYSTEMATICS AND MODES OF REPRODUCTIVE ISOLATION IN THE HOLARCTIC DROSOPHILA-TESTACEA SPECIES GROUP (DIPTERA, DROSOPHILIDAE)
Chironomus plumosus	Chironomus balantonicus	Laboratory	Yes	MICHAILOVA, P.	1987	C-BANDING IN THE POLYTENE CHROMOSOMES OF SPECIES OF THE PLUMOSUS GROUP (DIPTERA, CHIRONOMIDAE) AND THEIR EXPERIMENTAL HYBRIDS
Chironomus plumosus	Chironomus vancouveri	Laboratory	Yes	MICHAILOVA, P.	1987	C-BANDING IN THE POLYTENE CHROMOSOMES OF SPECIES OF THE PLUMOSUS GROUP (DIPTERA, CHIRONOMIDAE) AND THEIR EXPERIMENTAL HYBRIDS
