Suborder	Family	Sp1	Sp2	Condition	MainTopic	Authors	Year	Article
Ensifera	Anostostomatidae	Hemideina thoracica	Hemideina trewicki	Field	Yes	"Mckean, NE; Trewick, SA; Morgan-Richards, M."	2016	Little or no gene flow despite F-1 hybrids at two interspecific contact zones
Ensifera	Anostostomatidae	Hemideina thoracica	Hemideina crassidens	Field	Yes	"Mckean, NE; Trewick, SA; Morgan-Richards, M."	2016	Little or no gene flow despite F-1 hybrids at two interspecific contact zones
Ensifera	Tettigoniidae	Hexacentrus japonicus	Hexacentrus unicolor	Field	Yes	"INAGAKI, H; SUGIMOTO, T."	1994	"INTERSPECIFIC MICRODIVERGENCY IN MALE GENITALIA BETWEEN 2 SIBLING SPECIES OF THE BUSH-CRICKET GENUS HEXACENTRUS (ORTHOPTERA, TETTIGONIIDAE)"
Caelifera	Acrididae	Melanoplus sanguinipes	Melanoplus devastator	Field	Yes	"Orr, MR."	1996	Life-history adaptation and reproductive isolation in a grasshopper hybrid zone
Ensifera	Tettigoniidae	Orchelimum nigripes	Orchelimum pulchellum	Field	Yes	"Shapiro, LH."	1998	Hybridization and geographic variation in two meadow katydid contact zones
Caelifera	Acrididae	Phaulacridium marginale	Phaulacridium otagoense	Field	No	"Sivyer, L; Morgan-Richards, M; Koot, E; Trewick, SA."	2018	"Anthropogenic cause of range shifts and gene flow between two grasshopper species revealed by environmental modelling, geometric morphometrics and population genetics"
Ensifera	Tettigoniidae	Saga campbelli	Saga hellenica	Laboratory	Yes	"Lemonnier-Darcemont, M; Dutrillaux, AM; Dutrillaux, B; Darcemont, C."	2011	Hybridation between Saga campbelli Kaltenbach 1965 and Saga hellenica Kaltenbach 1967 (Orthoptera: Tettigoniidae).
Ensifera	Tettigoniidae	Saga pedo	Saga rammei	Laboratory	Yes	"Lemonnier-Darcemont, M; Darcemont, C."	2007	Hybridization between Saga pedo (Pallas 1771) and Saga rammei Kaltenbach 1965 (Orthoptera : Tettigoniidae)
Caelifera	Acrididae	Stenobothrus clavatus	Stenobothrus rubicundus	Field	Yes	"Vedenina, V; Fahsing, S; Sradnick, J; Klopfel, A; Elsner, N."	2013	A narrow hybrid zone between the grasshoppers Stenobothrus clavatus and Stenobothrus rubicundus (Orthoptera: Gomphocerinae): female preferences for courtship songs
Ensifera	Gryllidae	Teleogryllus oceanicus	Teleogryllus commodus	Laboratory	Yes	"Bailey, NW; Moran, PA; Hennig, RM."	2017	Divergent mechanisms of acoustic mate recognition between closely related field cricket species (Teleogryllus spp.)
Caelifera	Acrididae	Trimerotropis agrestis	Trimerotropis maritima	Field	Yes	"Brust, ML; Hoback, WW; Wright, RJ."	2009	Apparent Hybridization Between Trimerotropis agrestis and Trimerotropis maritima (Orthoptera: Acrididae) in a Recently Disturbed Habitat
Caelifera	Acrididae	Trimerotropis suffusa	Trimerotropis cyaneipennis	Field	Yes	"JOHN, B; LIGHTFOOT, DC; WEISSMAN, DB."	1983	"THE MEIOTIC BEHAVIOR OF NATURAL F1 HYBRIDS BETWEEN TRIMEROTROPIS-SUFFUSA SCUDDER AND TRIMEROTROPIS-CYANEIPENNIS BRUNER (ORTHOPTERA, OEDIPODINAE)"
