Sequence	Order	Species	BOLD	GenBank
110	Diptera	Aedes triseriatus	MOSN2104-19	NA
111	Diptera	Aedes triseriatus	MOSN2236-19	NA
112	Diptera	Aedes triseriatus	MOSN2237-19	NA
113	Diptera	Aedes triseriatus	MOSN2238-19	NA
114	Diptera	Aedes triseriatus	MOSN2239-19	NA
115	Diptera	Aedes triseriatus	MOSN2240-19	NA
116	Diptera	Aedes triseriatus	MOSN2241-19	NA
117	Diptera	Aedes triseriatus	MOSN2242-19	NA
118	Diptera	Aedes triseriatus	MOSN2243-19	NA
119	Diptera	Aedes triseriatus	MOSN2244-19	NA
120	Diptera	Aedes triseriatus	MOSN2245-19	NA
121	Diptera	Aedes triseriatus	MOSN2559-19	NA
122	Diptera	Aedes triseriatus	MOSN2560-19	NA
123	Diptera	Aedes triseriatus	MOSN2561-19	NA
124	Diptera	Aedes triseriatus	MOSN2562-19	NA
125	Diptera	Aedes triseriatus	MOSN2563-19	NA
126	Diptera	Aedes triseriatus	MOSN2564-19	NA
127	Diptera	Aedes triseriatus	MOSN2565-19	NA
128	Diptera	Aedes triseriatus	MOSN271-18	NA
129	Diptera	Aedes triseriatus	MOSN272-18	NA
130	Diptera	Aedes triseriatus	MOSN273-18	NA
131	Diptera	Aedes triseriatus	MOSN274-18	NA
132	Diptera	Aedes triseriatus	MOSN275-18	NA
133	Diptera	Aedes triseriatus	MOSN276-18	NA
134	Diptera	Aedes triseriatus	MOSN277-18	NA
135	Diptera	Aedes triseriatus	MOSN2981-19	NA
136	Diptera	Aedes triseriatus	MOSN3028-19	NA
137	Diptera	Aedes triseriatus	MOSN3075-19	NA
138	Diptera	Aedes triseriatus	MOSN3140-19	NA
139	Diptera	Aedes triseriatus	MOSN3153-19	NA
140	Diptera	Aedes triseriatus	MOSN3164-19	NA
141	Diptera	Aedes triseriatus	MOSN3170-19	NA
142	Diptera	Aedes triseriatus	MOSN3171-19	NA
143	Diptera	Aedes triseriatus	MOSN3194-19	NA
144	Diptera	Aedes triseriatus	MOSN3207-19	NA
145	Diptera	Aedes triseriatus	MOSN3217-19	NA
146	Diptera	Aedes triseriatus	MOSN3914-19	NA
147	Diptera	Aedes triseriatus	MOSN3922-19	NA
148	Diptera	Aedes triseriatus	MOSN3930-19	NA
149	Diptera	Aedes triseriatus	MOSN3931-19	NA
150	Diptera	Aedes triseriatus	MOSN3956-19	NA
151	Diptera	Aedes triseriatus	MOSN4076-20	NA
152	Diptera	Aedes triseriatus	MOSN4077-20	NA
153	Diptera	Aedes triseriatus	MOSN4078-20	NA
154	Diptera	Aedes triseriatus	MOSN4079-20	NA
155	Diptera	Aedes triseriatus	MOSN4080-20	NA
156	Diptera	Aedes triseriatus	MOSN4081-20	NA
157	Diptera	Aedes triseriatus	MOSN4082-20	NA
158	Diptera	Aedes triseriatus	MOSN4083-20	NA
159	Diptera	Aedes triseriatus	MOSN4084-20	NA
160	Diptera	Aedes triseriatus	MOSN4085-20	NA
161	Diptera	Aedes triseriatus	MOSN4197-20	NA
162	Diptera	Aedes triseriatus	MOSN4198-20	NA
163	Diptera	Aedes triseriatus	MOSN4199-20	NA
164	Diptera	Aedes triseriatus	MOSN4200-20	NA
165	Diptera	Aedes triseriatus	MOSN4201-20	NA
166	Diptera	Aedes triseriatus	MOSN4202-20	NA
167	Diptera	Aedes triseriatus	MOSN4203-20	NA
168	Diptera	Aedes triseriatus	MOSN4204-20	NA
169	Diptera	Aedes triseriatus	MOSN4205-20	NA
170	Diptera	Aedes triseriatus	MOSN4206-20	NA
171	Diptera	Aedes triseriatus	MOSN427-18	NA
172	Diptera	Aedes triseriatus	MOSN428-18	NA
173	Diptera	Aedes triseriatus	MOSN429-18	NA
174	Diptera	Aedes triseriatus	MOSN430-18	NA
175	Diptera	Aedes triseriatus	MOSN4334-20	NA
176	Diptera	Aedes triseriatus	MOSN4396-20	NA
