Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	Reference
Diptera	Sepsis pyrrhosoma	Sepsis flavimana	N	Y	Y	N	N	Tan, DSH; Ang, Y; Lim, GS; Bin Ismail, MR; Meier, R, 2010
Diptera	Telostylinus lineolatus	Telostylinus angusticollis	Y	Y	N	N	N	Bath, E; Tatarnic, N; Bonduriansky, R, 2012
Diptera	Themira lohmanus	Themira biloba	Y	Y	N	N	N	Ang, YC; Rajaratnam, G; Su, KFY; Meier, R, 2017
Diptera	Urophora affinis	Urophora quadrifasciata	N	N	N	N	N	BERUBE, DE; MYERS, JH, 1983
Diptera	Zonosemata electa	Rhagoletis pomonella	N	?	?	?	?	Hood, GR; Egan, SP; Feder, JL, 2012
Hymenoptera	Aphidius microlophii	Aphidius eadyi	N	Y	Y	NA	?	Atanassova, P; Brookes, CP; Loxdale, HD; Powell, W, 1998
Hymenoptera	Apis cerana	Apis mellifera	Y	Y	N	NA	N	Remnant, EJ; Koetz, A; Tan, K; Hinson, E; Beekman, M; Oldroyd, BP, 2014
Hymenoptera	Athalia rosae	Athalia infumata	Y	Y	?	NA	?	SAWA, M, 1991
Hymenoptera	Camponotus herculeanus	Camponotus ligniperda	Y	Y	Y	NA	?	Seifert, B, 2019
Hymenoptera	Camponotus herculeanus	Camponotus ligniperda	Y	Y	Y	NA	?	Seifert, B, 2019
Hymenoptera	Encarsia gennaroi	Encarsia suzannae	Y	Y	Y	NA	Y	Gebiola, M; Kelly, SE; Hammerstein, P; Giorgini, M; Hunter, MS, 2016
Hymenoptera	Encarsia inaron	Encarsia partenopea	N	N	N	NA	N	Gebiola, M; White, JA; Cass, BN; Kozuch, A; Harris, LR; Kelly, SE; Karimi, J; Giorgini, M; Perlman, SJ; Hunter, MS, 2016
Hymenoptera	Nasonia giraulti	Nasonia vitripennis	Y	N	N	NA	N	Mair, MM; Kmezic, V; Huber, S; Pannebakker, BA; Ruther, J, 2017
Hymenoptera	Nasonia longicornis	Nasonia vitripennis	Y	N	N	NA	N	Beukeboom, LW; van den Assem, J, 2001
Hymenoptera	Neodiprion pinetum	Neodiprion lecontei	Y	Y	Y	NA	Y	Bendall, EE; Vertacnik, KL; Linnen, CR, 2017
Hymenoptera	Plutella xylostella	Plutella australiana	?	Y	Y	NA	Y	Perry, KD; Baker, GJ; Powis, KJ; Kent, JK; Ward, CM; Baxter, SW, 2018
Hymenoptera	Polistes fuscatus	Polistes metricus	Y	?	?	NA	?	Miller, SE; Legan, AW; Flores, ZA; Ng, HY; Sheehan, MJ, 2019
Hymenoptera	Trichogramma kaykai	Trichogramma deion	?	Y	Y	NA	N	Jeong, G; Stouthamer, R, 2006
Hymenoptera	Trissolcus plautiae	Trissolcus japonicus	?	N	N	NA	N	Matsuo, K; Hirose, Y; Johnson, NF, 2014
Lepidoptera	Busseola fusca	Busseola nairobica	N	N	N	N	N	Felix, AE; Calatayud, PA; Le Ru, B; Capdevielle-Dulac, C; Ongamo, G; Silvain, JF; Frerot, B.	2014
Dahlica charlottae	Dahlica lazuri	Laboratory	Y	Y	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Dahlica charlottae	Dahlica lichenella	Laboratory	Y	Y	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Dahlica charlottae	Siederia listerella	Laboratory	Y	N	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Dahlica charlottae	Siederia rupicolella	Laboratory	Y	N	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Dahlica lazuri	Dahlica lichenella	Laboratory	Y	Y	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Dahlica lazuri	Siederia listerella	Laboratory	Y	Y	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Dahlica lazuri	Siederia rupicolella	Laboratory	Y	Y	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Dahlica lichenella	Siederia listerella	Laboratory	Y	N	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Dahlica lichenella	Siederia rupicolella	Laboratory	Y	Y	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Siederia listerella	Siederia rupicolella	Laboratory	Y	N	N	N	N	Elzinga, JA; Mappes, J; Kaila, L.	2014
Sesamia cretica	Sesamia nonagrioides	Field	N	?	?	?	?	Avand-Faghih, A; Frerot, B.	2008
Heliconius cydno	Heliconius melpomene	Field	Y	Y	Y	Y	N	Byers, KJRP; Darragh, K; Garza, SF; Almeida, DA; Warren, IA; Rastas, PMA; Merrill, RM; Schulz, S; McMillan, WO; Jiggins, CD.	2021
Heliconius timareta	Heliconius melpomene	Field	Y	Y	Y	Y	Y	Merot, C; Frerot, B; Leppik, E; Joron, M.	2015
Papilio canadensis	Papilio glaucus	Field	Y	Y	Y	Y	Y	Scriber, JM; Ording, GJ.	2005
Etiella zinckenella	Etiella hobsoni	Laboratory	N	?	?	?	?	Edmonds, RP; Borden, JH; Angerilli, NPD; Rauf, A.	2000
Helicoverpa armigera	Helicoverpa assulta	Laboratory	N	Y	Y	Y	Y	Teng, ZQ; He, Q; Li, HT; Zhang, QW.	2009
Lymantria monacha	Lymantria fumida	Field	N	?	?	?	?	Rowland, E; Schaefer, PW; Belton, P; Gries, G.	2011
Platyptilia carduidactyla	Platyptilia williamsii	Field	N	N	N	N	N	HAYNES, KF; BIRCH, MC.	1986
Spodoptera littoralis	Spodoptera litura	Laboratory	Y	Y	N	N	N	Saveer, AM; Becher, PG; Birgersson, G; Hansson, BS; Witzgall, P; Bengtsson, M.	2014
Chloridea virescens	Heliothis subflexa	Laboratory	Y	Y	Y	Y	N	Hillier, NK; Vickers, NJ. 	2011
Danaus chrysippus	Danaus genutia	Field	Y	N	N	N	N	Baidya, S; Basu, DN; Roy, S; Roy, AB.	2018
Lycaeides idas	Lycaeides melissa	Field	Y	Y	Y	Y	Y	Gompert, Z; Lucas, LK; Fordyce, JA; Forister, ML; Nice, CC.	2010
Leptidea sinapis	Leptidea reali	Field	N	N	N	N	N	Friberg, M; Vongvanich, N; Borg-Karlson, AK; Kemp, DJ; Merilaita, S; Wiklund, C.	2008
Leptidea sinapis	Leptidea juvernica	Laboratory	N	N	N	N	N	Dinca, V; Wiklund, C; Lukhtanov, VA; Kodandaramaiah, U; Noren, K; Dapporto, L; Wahlberg, N; Vila, R; Friberg, M.	2013
Leptidea reali	Leptidea juvernica	Laboratory	N	N	N	N	N	Dinca, V; Wiklund, C; Lukhtanov, VA; Kodandaramaiah, U; Noren, K; Dapporto, L; Wahlberg, N; Vila, R; Friberg, M.	2013
Choristoneura fumiferana	Choristoneura pinus	Field	Y	Y	Y	Y	?	Deverno, LL; Smith, GA; Harrison, KJ.	1998
Darna bradleyi	Darna trima	Field	N	?	?	?	?	Sasaerila, Y; Gries, G; Gries, R; Boo, TC.	2000
Darna bradleyi	Setothosea asigna	Field	N	?	?	?	?	Sasaerila, Y; Gries, G; Gries, R; Boo, TC.	2000
Darna bradleyi	Setora nitens	Field	N	?	?	?	?	Sasaerila, Y; Gries, G; Gries, R; Boo, TC.	2000
Darna trima	Setothosea asigna	Field	N	?	?	?	?	Sasaerila, Y; Gries, G; Gries, R; Boo, TC.	2000
Darna trima	Setora nitens	Field	N	?	?	?	?	Sasaerila, Y; Gries, G; Gries, R; Boo, TC.	2000
Setothosea asigna	Setora nitens	Field	N	?	?	?	?	Sasaerila, Y; Gries, G; Gries, R; Boo, TC.	2000
Melitaea acentria	Melitaea didyma	Field	Y	Y	Y	Y	?	Pazhenkova, EA; Lukhtanov, VA.	2021
Pieris napi	Pieris macdunnoughii	Laboratory	?	Y	Y	Y	Y	Chew, FS; Watt, WB.	2006
Pieris napi	Pieris virginiensis	Laboratory	?	Y	Y	N	N	Chew, FS; Watt, WB.	2006
Pieris napi	Pieris marginalis	Laboratory	?	Y	Y	Y	Y	Chew, FS; Watt, WB.	2006
Pieris napi	Pieris oleracea	Laboratory	?	Y	Y	Y	Y	Chew, FS; Watt, WB.	2006
Pieris napi	Pieris microstriata	Laboratory	?	Y	Y	Y	N	Chew, FS; Watt, WB.	2006
Pieris oleracea	Pieris virginiensis	Laboratory	Y	N	N	N	N	Chew, FS; Watt, WB.	2006
Pieris oleracea	Pieris marginalis	Laboratory	?	Y	Y	Y	Y	Chew, FS; Watt, WB.	2006
Trichoplusia ni	Chrysodeixis includens	Laboratory	N	N	N	N	N	LANDOLT, PJ; HEATH, RR.	1987
Plutella xylostella	Plutella australiana	Laboratory	N	Y	Y	Y	N	Perry, KD; Baker, GJ; Powis, KJ; Kent, JK; Ward, CM; Baxter, SW.	2018
Heliconius cydno	Heliconius pachinus	Field	Y	Y	Y	Y	Y	Kronforst, MR; Young, LG; Kapan, DD; McNeely, C; ONeill, RJ; Gilbert, LE, 2006
Lepidoptera	Busseola segeta	Busseola nairobica	N	Y	N	N	N	Felix, AE; Calatayud, PA; Le Ru, B; Capdevielle-Dulac, C; Ongamo, G; Silvain, JF; Frerot, B.	2014
Busseola segeta	Busseola fusca	Laboratory	N	N	N	N	N	Felix, AE; Calatayud, PA; Le Ru, B; Capdevielle-Dulac, C; Ongamo, G; Silvain, JF; Frerot, B, 2014
Lepidoptera	Choristoneura fumiferana	Choristoneura occidentalis	Y	Y	Y	?	?	Nelson, TD; MacDonald, ZG; Sperling, FAH, 2022
Lepidoptera	Colias eurytheme	Colias philodice	Y	Y	Y	Y	Y	MEYERROCHOW, VB, 1991
Lepidoptera	Danaus erippus	Danaus plexippus	N	Y	Y	N	N	Hay-Roe, MM; Lamas, G; Nation, JL, 2007
Lepidoptera	Earias vittella	Earias insulana	Y	N	N	N	N	TAMHANKAR, AJ, 1992
Lepidoptera	Heliconius elevatus	Heliconius pardalinus	N	Y	Y	Y	N	Rosser, N; Queste, LM; Cama, B; Edelman, NB; Mann, F; Pezo, RM; Morris, J; Segami, C; Velado, P; Schulz, S; Mallet, JLB; Dasmahapatra, KK, 2019
