Order	Sp1	Sp2	RI	Gen	Barrier
Odonata	Argia sedula	Enallagma basidens	1	0.18960244648318	Assortative Mating + 
Mechanical Isolation
Odonata	Argia tibialis	Argia moesta	1	0.168693009118541	Assortative Mating + 
Mechanical Isolation
Odonata	Argia tibialis	Lestes dryas	1	0.173252279635258	Assortative Mating + 
Mechanical Isolation
Odonata	Boyeria grafiana	Boyeria vinosa	1	0	Assortative Mating + 
Mechanical Isolation
Odonata	Brachytron pratense	Libellula quadrimaculata	1	0.153585926928281	Assortative Mating + 
Mechanical Isolation
Odonata	Calopteryx aequabilis	Calopteryx maculata	0.6	0.126331811263318	Hybrid Inviability
Odonata	Calopteryx dimidiata	Calopteryx maculata	0.8	0.170471841704718	Oviposition
Odonata	Calopteryx haemorrhoidalis	Calopteryx splendens	0.8	0.141337386018237	Oviposition
Odonata	Calopteryx splendens	Calopteryx virgo	0	0.10814332247557	Fertile F1 Hybrids
Odonata	Calopteryx splendens	Platycnemis pennipes	1	0.203257328990228	Assortative Mating + 
Mechanical Isolation
Odonata	Calopteryx virgo	Pyrrhosoma nymphula	1	0.189453125	Assortative Mating + 
Mechanical Isolation
Odonata	Chalcolestes parvidens	Chalcolestes viridis	1	0.0991350632069195	Assortative Mating + 
Mechanical Isolation
Odonata	Chalcolestes viridis	Erythromma viridulum	1	0.18957654723127	Assortative Mating + 
Mechanical Isolation
Odonata	Chalcolestes viridis	Lestes dryas	1	0.144736842105263	Assortative Mating + 
Mechanical Isolation
Odonata	Chalcolestes viridis	Lestes virens	1	0.175603217158177	Assortative Mating + 
Mechanical Isolation
Odonata	Chalcolestes viridis	Sympecma fusca	1	0.153745928338762	Assortative Mating + 
Mechanical Isolation
Odonata	Coenagrion ornatum	Platycnemis pennipes	1	0.168275862068966	Assortative Mating + 
Mechanical Isolation
Odonata	Coenagrion puella	Coenagrion pulchellum	0	0.00527009222661397	Fertile F1 Hybrids
Odonata	Coenagrion puella	Enallagma cyathigerum	0.8	0.137075718015666	Oviposition
Odonata	Copera marginipes	Ceriagrion cerinorubellum	0.8	0.162995594713656	Oviposition
Odonata	Cordulegaster bilineata	Cordulegaster diastatops	0	0.0559210526315789	Fertile F1 Hybrids
Odonata	Cordulegaster boltonii	Somatochlora metallica	1	0.195862068965517	Assortative Mating + 
Mechanical Isolation
Odonata	Cordulia aenea	Epitheca bimaculata	0.8	0.121580547112462	Oviposition
Odonata	Cordulia aenea	Somatochlora flavomaculata	0.8	0.122635355512068	Oviposition
Odonata	Crocothemis erythraea	Trithemis annulata	1	0.161290322580645	Assortative Mating + 
Mechanical Isolation
Odonata	Deielia phaon	Orthetrum albistylum	0.8	0.170522141440846	Oviposition
Odonata	Diplacodes lefebvrii	Trithemis arteriosa	1	0.170212765957447	Assortative Mating + 
Mechanical Isolation
Odonata	Dorocordulia libera	Epitheca canis	1	0.113981762917933	Assortative Mating + 
Mechanical Isolation
Odonata	Dromogomphus spinosus	Stylurus plagiatus	1	0.156534954407295	Assortative Mating + 
Mechanical Isolation
