Order	Sp1	Sp2	Assortative_Mating	Oviposition	Hybrid_Inviability	Haldanes_Rule	Fertile_F1_Hybrids	RI	Barrier
Odonata	Sympetrum sanguineum	Sympetrum striolatum	Y	N	N	NA	NA	0.8	Oviposition
Odonata	Sympetrum sanguineum	Sympetrum vulgatum	N	N	N	NA	NA	1	Assortative Mating
Odonata	Sympetrum vulgatum	Sympetrum danae	Y	Y	N	NA	NA	0.6	Hybrid Inviability
Odonata	Sympetrum vulgatum	Sympetrum striolatum	Y	Y	N	NA	NA	0.6	Hybrid Inviability
Odonata	Trigomphus interruptus	Trigomphus ogumai	N	N	N	NA	NA	1	Assortative Mating
Orthoptera	Allonemobius fasciatus	Allonemobius socius	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Orthoptera	Chorthippus albomarginatus	Chorthippus oschei	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Orthoptera	Chorthippus biguttulus	Chorthippus brunneus	Y	Y	Y	Y	N	0.2	Haldanes Rule
Orthoptera	Chorthippus biguttulus	Chorthippus mollis	Y	Y	Y	Y	N	0.2	Haldanes Rule
Orthoptera	Chorthippus brunneus	Chorthippus jacobsi	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Orthoptera	Chorthippus parallelus	Chorthippus montanus	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Orthoptera	Cyphoderris buckelli	Cyphoderris monstrosa	Y	N	N	N	N	0.8	Oviposition
Orthoptera	Dociostaurus curvicercus	Dociostaurus jagoi	N	Y	N	N	N	1	Assortative Mating
Orthoptera	Gryllus lineaticeps	Gryllus personatus	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Orthoptera	Gryllus staccato	Gryllus lineaticeps	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Orthoptera	Gryllus staccato	Gryllus personatus	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
Orthoptera	Podisma tyatiensis	Podisma sapporensis	Y	Y	N	N	N	0.6	Hybrid Inviability
Orthoptera	Stenobothrus rubicundulus	Stenobothrus clavatus	Y	Y	Y	Y	Y	0	Fertile F1 Hybrids
