Group	Order	Sp1	Sp2	Origonal Consequence	Unified Consequence	Include
General	Hymenoptera	Formica lugubris	Formica pratensis	Hibridación introgresiva	Introgression	Y
General	Hymenoptera	Formica lugubris	Formica rufa	Hibridación introgresiva	Introgression	Y
General	Hymenoptera	Formica polyctena	Formica rufa	Adaptacion local	Local Adaptation	Y
General	Hymenoptera	Formica rufa	Formica polyctena	Fusion de especies	Species Fussion	Y
General	Hymenoptera	Lasius emarginatus	Lasius platythorax	Introgresión debil	Introgression	Y
General	Hymenoptera	Lasius niger	Lasius psammophilus 	Hibridación introgresiva	Introgression	Y
General	Hymenoptera	Lasius umbratus	Lasius jensi	Hibridación introgresiva	Introgression	Y
General	Hymenoptera	Lasius umbratus	Lasius meridionalis	Hibridación introgresiva	Introgression	Y
General	Orthoptera	Melanoplus sanguinipes	Melanoplus devastator	Cambios fenologicos y de 	Fenological Changes	Y
General	Orthoptera	Melanoplus sanguinipes	Melanoplus devastator	tamaño corporal	Morphological Changes	Y
General	Orthoptera	Orchelimum nigripes	Orchelimum pulchellum	Hibridacion introgresiva	Introgression	Y
General	Orthoptera	Phaulacridium marginale	Phaulacridium otagoense	Hibridacion introgresiva	Introgression	Y
General	Orthoptera	Allonemobius fasciatus	Allonemobius socius	Hibridación introgresiva	Introgression	Y
General	Orthoptera	Chorthippus albomarginatus	Chorthippus karelini	Adaptacion local	Local Adaptation	Y
General	Orthoptera	Chorthippus mollis	Chorthippus biguttulus	Reforzamiento barreras precigoticas	Reinforcement	Y
General	Orthoptera	Chorthippus montanus	Chorthippus parallelus	Hibridación introgresiva	Introgression	Y
General	Orthoptera	Gryllus bimaculatus	Gryllus campestris	Reforazamiento precigotico asimetrico	Reinforcement	Y
Climate Change	Diptera	Chironomus riparius	C. piger	Reforzamiento de barreras postcigoticas	Reinforcement	Y
Climate Change	Hymenoptera	Formica polyctena	F. aquilonia	Introgresion	Introgression	Y
Climate Change	Hymenoptera	Formica polyctena	F. aquilonia	adaptacion a diferentes temperaturas	Local Adaptation	Y
Climate Change	Hymenoptera	Solenopsis invicta	S. richteri	Introgresion	Introgression	Y
Climate Change	Hymenoptera	Solenopsis invicta	S. richteri	adaptacion a diferentes temperaturas	Local Adaptation	Y
Climate Change	Lepidoptera	Hyles euphorbiae	H. tithymali	Introgresion	Introgression	Y
Climate Change	Lepidoptera	Hyles euphorbiae	H. tithymali	cambios en la morfología larval	Morphological Changes	Y
Climate Change	Lepidoptera	Polyommatus agestis	P. artaxerxes	Introgresión	Introgression	Y
Climate Change	Lepidoptera	Polyommatus agestis	P. artaxerxes	cambios en el voltinismo	Fenological Changes	Y
Climate Change	Lepidoptera	Helicoverpa armigera	H. zea	Introgression	Introgression	Y
Climate Change	Lepidoptera	Papilio glaucus	P. canadensis	"Cambios en el voltinismo, plantas hospederas y "	Fenological Changes	Y
Climate Change	Lepidoptera	Papilio glaucus	P. canadensis	especiacion hibrida	Hybrid Speciation	Y
Climate Change	Odonata	Anax imperator 	 A. partenophe	Hybridization	Hybridization	Y
Climate Change	Odonata	Calopteryx splendens 	C. virgo	Unidirectional introgression	Introgression	Y
Climate Change	Odonata	Calopteryx splendens	C. haemorroidalis	Bidirectional introgression	Introgression	Y
Climate Change	Odonata	Cordulegaster trinacriae	C. boltonii	"Unidirectional introgression, "	Introgression	Y
Climate Change	Odonata	Cordulegaster trinacriae	C. boltonii	Reinforcement	Reinforcement	Y
Climate Change	Odonata	Ischnura elegans	I. graellsii	"Bidirectional introgression, "	Introgression	Y
Climate Change	Odonata	Ischnura elegans	I. graellsii	"Local extinction, "	Local Extinction	Y
Climate Change	Odonata	Ischnura elegans	I. graellsii	Reinforcement	Reinforcement	Y
Climate Change	Odonata	Mnais costalis	M. pruinosa	"Introgression, "	Introgression	Y
Climate Change	Odonata	Mnais costalis	M. pruinosa	Reinforcement	Reinforcement	Y
Climate Change	Orthoptera	Chorthippus parallelus	C. montanus	Extinción local en poblaciones de C. montanum	Local Extinction	Y
Climate Change	Orthoptera	Allonemobius socius	A. fasciatus	Extincion local en poblaciones de A. socius	Local Extinction	Y
Climate Change	Orthoptera	Phaulacridium marginale	P. otagoense	Cambios morfológicos	Morphological Changes	Y
Climate Change	Orthoptera	Trimerotropis agrestis	T. maritima	Cambios morfológicos	Morphological Changes	Y
