Order	Suborder	Family	Sp1	Sp2	Distance
Lepidoptera	"Moth"	Crambidae	Ostrinia zealis	Ostrinia zaguliaevi	0.0137404580152672
Lepidoptera	"Moth"	Crambidae	Udea uliginosalis	Udea alpinalis	0.021602787456446
Lepidoptera	"Moth"	Drepanidae	Drepana falcataria	Drepana curvatula	0.0454545454545455
Lepidoptera	"Moth"	Erebidae	Orgyia thyellina	Orgyia antiqua	0.0940298507462687
Lepidoptera	"Moth"	Geometridae	Epirrita autumnata	Average	0.0430650235299075
Lepidoptera	"Moth"	Geometridae	Epirrita filigrammaria	Epirrita dilutata	0.0715372907153729
Lepidoptera	"Moth"	Geometridae	Lycia isabellae	Average	0.0534494090049646
Lepidoptera	"Moth"	Geometridae	Lycia lapponaria	Average	0.0289677653463338
Lepidoptera	"Moth"	Geometridae	Lycia zonaria	Lycia pomonaria	0.0426179604261796
Lepidoptera	"Moth"	Geometridae	Operophtera brumata	Operophtera bruceata	0.075707702435813
Lepidoptera	"Moth"	Geometridae	Selenia tetralunaria	Selenia bilunaria	0.0911854103343465
Lepidoptera	"Moth"	Geometridae	Thera variata	Thera obeliscata	0.0287610619469027
Lepidoptera	"Moth"	Geometridae	Timandra griseata	Timandra comae	0.0144478844169247
Lepidoptera	"Butterfly"	Hesperiidae	Pelopidas mathias	Pelopidas agna	0.0434782608695652
Lepidoptera	"Butterfly"	Hesperiidae	Pyrgus malvoides	Pyrgus malvae	0.00911854103343465
Lepidoptera	"Moth"	Lasiocampidae	Malacosoma neustria	Average	0.0463525835866261
Lepidoptera	"Moth"	Lasiocampidae	Phyllodesma tremulifolia	Phyllodesma ilicifolia	0
Lepidoptera	"Butterfly"	Lycaenidae	Aricia artaxerxes	Aricia agestis	0.0220162224797219
Lepidoptera	"Butterfly"	Lycaenidae	Callophrys rubi	Ahlbergia frivaldszkyi	0.00606980273141123
Lepidoptera	"Butterfly"	Lycaenidae	Plebejus melissa	Plebejus idas	0.0170818505338078
Lepidoptera	"Butterfly"	Lycaenidae	Pseudophilotes vicrama	Pseudophilotes baton	0.00766550522648084
Lepidoptera	"Butterfly"	Lycaenidae	Zizina otis	Zizina emelina	0.0137404580152672
Lepidoptera	"Butterfly"	Lycaenidae	Zizina oxleyi	Zizina labradus	0.0205047318611987
Lepidoptera	"Moth"	Noctuidae	Agrotis segetum	Agrotis ipsilon	0.0459016393442623
Lepidoptera	"Moth"	Noctuidae	Chloridea virescens	Chloridea subflexa	0.0537482319660538
Lepidoptera	"Moth"	Noctuidae	Euxoa rockburnei	Euxoa declarata	0.0151975683890578
Lepidoptera	"Moth"	Noctuidae	Helicoverpa armigera	Average	0.0433916616219272
Lepidoptera	"Moth"	Noctuidae	Hydraecia micacea	Hydraecia immanis	0.0592705167173252
Lepidoptera	"Moth"	Noctuidae	Spodoptera latifascia	Spodoptera descoinsi	0.035035035035035
Lepidoptera	"Moth"	Noctuidae	Spodoptera litura	Spodoptera littoralis	0.0335241210139002
Lepidoptera	"Moth"	Notodontidae	Cerura vinula	Cerura erminea	0.074468085106383
