Order	Suborder	Family	Cross	Condition	Distance
Lepidoptera	"Moth"	Saturniidae	Antheraea_pernyi_X_Antheraea_roylei	Field	0.0264797507788162
Lepidoptera	"Moth"	Saturniidae	Antheraea_pernyi_X_Antheraea_yamamai	Laboratory	0.054354944335298
Lepidoptera	"Butterfly"	Pieridae	Anthocharis_cardamines_X_Anthocharis_euphenoides	Laboratory	0.0531914893617021
Lepidoptera	"Butterfly"	Pieridae	Anthocharis_cardamines_X_Euchloe_ausonia	Laboratory	0.0805471124620061
Lepidoptera	"Butterfly"	Pieridae	Anthocharis_cardamines_X_Euchloe_simplonia	Laboratory	0.0835866261398176
Lepidoptera	"Moth"	Saturniidae	Callosamia_angulifera_X_Callosamia_promethea	Laboratory	0.0395136778115502
Lepidoptera	"Moth"	Saturniidae	Callosamia_angulifera_X_Callosamia_securifera	Laboratory	0.0349544072948328
Lepidoptera	"Moth"	Saturniidae	Callosamia_angulifera_X_Hyalophora_cecropia	Laboratory	0.0911854103343465
Lepidoptera	"Moth"	Saturniidae	Callosamia_promethea_X_Callosamia_securifera	Laboratory	0.0486322188449848
Lepidoptera	"Moth"	Notodontidae	Cerura_erminea_X_Cerura_vinula	Laboratory	0.074468085106383
Lepidoptera	"Moth"	Noctuidae	Chloridea_subflexa_X_Chloridea_virescens	Laboratory	0.0538243626062323
Lepidoptera	"Moth"	Tortricidae	Choristoneura_biennis_X_Choristoneura_fumiferana	Laboratory	0.0255235602094241
Lepidoptera	"Moth"	Tortricidae	Choristoneura_biennis_X_Choristoneura_occidentalis	Laboratory	0.0150326797385621
Lepidoptera	"Moth"	Tortricidae	Choristoneura_fumiferana_X_Choristoneura_occidentalis	Laboratory	0.0249343832020997
Lepidoptera	"Moth"	Tortricidae	Choristoneura_fumiferana_X_Choristoneura_pinus	Field	0.0262984878369494
Lepidoptera	"Moth"	Tortricidae	Choristoneura_fumiferana_X_Choristoneura_retiniana	Laboratory	0.0184089414858646
Lepidoptera	"Moth"	Tortricidae	Choristoneura_occidentalis_X_Choristoneura_pinus	Laboratory	0.00592495062541146
Lepidoptera	"Moth"	Tortricidae	Choristoneura_occidentalis_X_Choristoneura_retiniana	Laboratory	0.0131319763624425
Lepidoptera	"Moth"	Tortricidae	Choristoneura_pinus_X_Choristoneura_retiniana	Laboratory	0.0158311345646438
Lepidoptera	"Moth"	Saturniidae	Citheronia_regalis_X_Citheronia_splendens	Laboratory	0.060790273556231
Lepidoptera	"Moth"	Notodontidae	Clostera_anachoreta_X_Clostera_curtula	Laboratory	0.0683890577507599
Lepidoptera	"Moth"	Notodontidae	Clostera_anachoreta_X_Clostera_pigra	Laboratory	0.0623100303951368
Lepidoptera	"Moth"	Notodontidae	Clostera_apicalis_X_Clostera_pigra	Laboratory	0.074468085106383
Lepidoptera	"Moth"	Notodontidae	Clostera_curtula_X_Clostera_pigra	Laboratory	0.0562310030395137
