Sp1,Sp2,Condition,MainTopic,Authors,Year,Article
Pyrgus malvae,Pyrgus malvoides,Field,Yes,"Hernandez-Roldan, JL; Bofill, R; Dapporto, L; Munguira, ML; Vila, R.",2014,Morphological and chemical analysis of male scent organs in the butterfly genus Pyrgus (Lepidoptera: Hesperiidae)
Ostrinia scapulalis,Ostrinia furnacalis,Field,Yes,"Bourguet, D; Ponsard, S; Streiff, R; Meusnier, S; Audiot, P; Li, J; Wang, ZY.",2014,'Becoming a species by becoming a pest' or how two maize pests of the genus Ostrinia possibly evolved through parallel ecological speciation events
Coenonympha arcania,Coenonympha gardetta,Field,Yes,"Capblancq, T; Despres, L; Rioux, D; Mavarez, J.",2015,Hybridization promotes speciation in Coenonympha butterflies
Zizina emelina,Zizina otis,Laboratory,Yes,"Sakamoto, Y; Yago, M.",2017,Potential for interspecific hybridization between Zizina emelina and Zizina otis (Lepidoptera: Lycaenidae)
Ostrinia furnacalis,Ostrinia nubilalis,Field,Yes,"Wang, YZ; Kim, KS; Guo, WC; Li, QY; Zhang, YY; Wang, ZY; Coates, BS.",2017,Introgression between divergent corn borer species in a region of sympatry: Implications on the evolution and adaptation of pest arthropods
Udea alpinalis,Udea uliginosalis,Field,Yes,"Mally, R; Huemer, P; Nuss, M.",2018,"Deep intraspecific DNA barcode splits and hybridisation in the Udea alpinalis group (Insecta, Lepidoptera, Crambidae) - an integrative revision"
Yponomeuta padella,Yponomeuta cagnagella,Laboratory,Yes,"Hora, KH; Marec, F; Roessingh, P; Menken, SBJ.",2019,Limited intrinsic postzygotic reproductive isolation despite chromosomal rearrangements between closely related sympatric species of small ermine moths (Lepidoptera: Yponomeutidae)
Iphiclides feisthamelii,Iphiclides podalirius,Field,Yes,"Gaunet, A; Dinca, V; Dapporto, L; Montagud, S; Voda, R; Schar, S; Badiane, A; Font, E; Vila, R.",2019,"Two consecutive Wolbachia-mediated mitochondrial introgressions obscure taxonomy in Palearctic swallowtail butterflies (Lepidoptera, Papilionidae)"
Citheronia regalis,Citheronia splendens,Laboratory,Yes,"Adamski, D; Marques, D; Mayo, KG; Mayo, R.",2019,DESCRIPTION OF LARVAL AND PUPAL STAGES OF A BILATERAL GYNANDROMORPH REARED FROM A CROSS BETWEEN CITHERONIA REGALIS (FABR.) AND C. SPLENDENS (DRUCE) (LEPIDOPTERA: SATURNIIDAE)
Melitaea phoebe,Melitaea ornata,Field,Yes,"Russell, P; Bartolozzi, L.",2019,"A revisit to the Melitaea taxon nigrogygia Verity, 1939 (Lepidoptera: Nymphalidae) and designation of a Lectotype"
Antheraea pernyi,Antheraea roylei,Field,Yes,"Yang, J; Zhang, RS; Chen, DB; Chen, MM; Li, YP; Liu, YQ.",2019,The complete mitochondrial genome of Antheraea proylei strain In981 (Lepidoptera: Saturniidae)
Thaumetopoea pityocampa,Thaumetopoea wilkinsoni,Field,Yes,"Ipekdal, K; Burban, C; Saune, L; Battisti, A; Kerdelhue, C.",2020,From refugia to contact: Pine processionary moth hybrid zone in a complex biogeographic setting
Adscita italica,Adscita alpina,Field,Yes,"Efetov, KA; Kucherenko, EE; Tarmann, GM.",2020,"An application of the synthetic sex attractants from the series ""EFETOV-2"" for studying Procridinae in Italy (Lepidoptera: Zygaenidae)"
Junonia zonalis,Junonia coenia,Field,Yes,"Lalonde, MML; Marcus, JM.",2020,BACK TO THE FUTURE: UPDATES ON THE INVASION HISTORY OF JUNONIA BUTTERFLIES IN FLORIDA AND THE MYSTERY OF CHOKOLOSKEE
Ahlbergia frivaldszkyi,Callophrys rubi,Field,Yes,"Shapoval, NA; Yakovlev, RV; Kuftina, GN; Lukhtanov, VA; Knyazev, SA; Romanovich, AE; Krupitsky, AV. 2021",2021,"Identification of Natural Hybrids between Ahlbergia frivaldszkyi (Lederer, 1853) and Callophrys rubi (Linnaeus, 1758) (Lepidoptera, Lycaenidae) Using Mitochondrial and Nuclear Markers"
Melitaea acentria,Melitaea acentria,Field,Yes,"Pazhenkova, EA; Lukhtanov, VA.",2021,"Genomic introgression from a distant congener in the Levant fritillary butterfly, Melitaea acentria"
Pelopidas agna,Pelopidas mathias,Field,Yes,"Goonesekera, K; Lee, PLM; Van der Poorten, G; Ranawaka, G.",2021,"A global comparison of DNA sequences of Pelopidas (Lepidoptera: Hesperiidae) reveals discordance between morphological and genetic data, and an insular 'ghost' population"
Pseudophilotes baton,Pseudophilotes vicrama,Field,No,"Bartonova, AS; Konvicka, M; Maresova, J; Wiemers, M; Ignatev, N; Wahlberg, N; Schmitt, T; Fric, ZF.",2021,Wolbachia affects mitochondrial population structure in two systems of closely related Palaearctic blue butterflies
Hyles hippophaes,Hyles chamyla,Field,Yes,"Patzold, F; Marabuto, E; Daneck, H; O'Neill, MA; Kitching, IJ; Hundsdoerfer, AK.",2021,"The Phylogenetics and Biogeography of the Central Asian Hawkmoths, Hyles hippophaes and H. chamyla: Can Mitogenomics and Machine Learning Bring Clarity?"
Papilio phorcas,Papilio constantinus,Laboratory,Yes,"CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI.",1991,"PHYLOGENETIC-RELATIONSHIPS OF 3 AFRICAN SWALLOWTAIL BUTTERFLIES, PAPILIO-DARDANUS, P-PHORCAS AND P-CONSTANTINUS - NEW DATA FROM HYBRIDS (LEPIDOPTERA, PAPILIONIDAE)"
Papilio constantinus,Papilio dardanus,Laboratory,Yes,"CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI.",1991,"PHYLOGENETIC-RELATIONSHIPS OF 3 AFRICAN SWALLOWTAIL BUTTERFLIES, PAPILIO-DARDANUS, P-PHORCAS AND P-CONSTANTINUS - NEW DATA FROM HYBRIDS (LEPIDOPTERA, PAPILIONIDAE)"
Papilio dardanus,Papilio phorcas,Laboratory,Yes,"CLARKE, CA; GORDON, IJ; SMITH, CR; VANEWRIGHT, RI.",1991,"PHYLOGENETIC-RELATIONSHIPS OF 3 AFRICAN SWALLOWTAIL BUTTERFLIES, PAPILIO-DARDANUS, P-PHORCAS AND P-CONSTANTINUS - NEW DATA FROM HYBRIDS (LEPIDOPTERA, PAPILIONIDAE)"
Hyalophora kasloensis,Hyalophora euryalus,Laboratory,Yes,"Collins, MM.",1997,Hybridization and speciation in Hyalophora (Insecta: Lepidoptera: Saturniidae): A reappraisal of W.R. Sweadner's classic study of a hybrid zone
Hyalophora columbia,Hyalophora euryalus,Field,Yes,"Collins, MM.",1997,Hybridization and speciation in Hyalophora (Insecta: Lepidoptera: Saturniidae): A reappraisal of W.R. Sweadner's classic study of a hybrid zone
