Table	Genera	Species (male)	Species (female)	Sexual interaction	Attempt to tandem	Tandem	Mating	Oviposition	Hybrid-field	Hybrid-lab
S1	Sympetrum	internum	rubicundulum				x			
S1	Sympetrum	kunckeli	darwinianum				x			
S1	Sympetrum	meridionale	striolatum		x					
S1	Sympetrum	obtrusum	danae			x				
S1	Sympetrum	risi  	infuscatum				x			
S1	Sympetrum	risi risi 	eroticum eroticum	x						
S1	Sympetrum	rubicundulum	obtrusum			x				
S1	Sympetrum	sanguineum	meridionale	x						
S1	Sympetrum	sanguineum	flaveolum	x		x				
S1	Sympetrum	sanguineum	vulgatum			x				
S1	Sympetrum	sanguineum	striolatum				x			
S1	Sympetrum	striolatum	sanguineum			x				
S1	Sympetrum	striolatum	vulgatum			x				
S1	Sympetrum	vulgatum	striolatum			x		x		
S1	Sympetrum	vulgatum	danae					x		
S1	Sympetrum 	kunckeli	eroticum eroticum							x
S1	Trigomphus	interruptus	ogumai			x				
